period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,tau,15m,G-raw-6h,209550,366,0.082847,0.081473,0.084185,0.28018,0.2755,0.28478,0.0088212,0.0074203,0.010149,0.0016532,0.0014091,0.0018952,-0.00013839,G-raw-2h
validation,z,tau,10m,G-raw-6h,209550,366,0.082357,0.081058,0.083496,0.27901,0.27441,0.28346,0.0091269,0.0077552,0.010424,0.0016418,0.0014133,0.0018801,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-6h,209550,366,0.078749,0.077431,0.080012,0.26668,0.26223,0.271,0.00895,0.0077109,0.010364,0.001758,0.0015275,0.0019983,0.00042472,G-raw-2h
validation,z,tau,3m,G-raw-6h,209550,366,0.076872,0.075678,0.078003,0.2613,0.25714,0.26526,0.0099165,0.0086139,0.011301,0.0018789,0.0016267,0.0021336,0.0009592,G-raw-2h
validation,z,tau,2m,G-raw-6h,209550,366,0.076383,0.075114,0.077607,0.26135,0.25706,0.26563,0.010454,0.0091484,0.011882,0.0020114,0.0017561,0.0022532,0.00045812,G-raw-2h
validation,z,tau,60m,G-raw-1d,209550,366,0.090608,0.089135,0.092046,0.30889,0.30337,0.31465,0.015278,0.012319,0.018495,0.0033969,0.0027454,0.0040619,0.0027869,G-raw-2h
validation,z,tau,45m,G-raw-1d,209550,366,0.089776,0.088209,0.091187,0.306,0.30014,0.31176,0.017196,0.014249,0.020424,0.0035759,0.0029423,0.0042602,0.0014984,G-raw-2h
validation,z,tau,30m,G-raw-1d,209550,366,0.088787,0.087476,0.09012,0.30278,0.29755,0.30829,0.017668,0.014565,0.020915,0.00381,0.0031335,0.0045134,-0.0020425,G-raw-2h
validation,z,tau,20m,G-raw-1d,209550,366,0.084863,0.083481,0.086191,0.29084,0.28587,0.29561,0.019667,0.016652,0.022466,0.0042018,0.0035289,0.0048736,0.00073968,G-raw-2h
validation,z,tau,15m,G-raw-1d,209550,366,0.085417,0.084022,0.086753,0.29136,0.28653,0.29627,0.02001,0.017042,0.02289,0.0042231,0.0035859,0.0049041,-0.00013839,G-raw-2h
