period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,tau,20m,T-blend,209550,366,0.078847,0.077352,0.080372,0.26114,0.25614,0.26605,-0.00032331,-0.00056028,-9.1988e-05,-5.0703e-05,-8.7007e-05,-1.2925e-05,0.00073968,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,15m,T-blend,209550,366,0.07961,0.078164,0.081159,0.26194,0.25717,0.26694,-0.00022659,-0.00045601,-1.2892e-05,-4.4351e-05,-7.5802e-05,-1.1363e-05,-0.00013839,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,10m,T-blend,209550,366,0.079069,0.077609,0.080375,0.26026,0.25547,0.26476,-0.00023591,-0.00041359,-5.6671e-05,-4.6932e-05,-7.3683e-05,-1.9735e-05,0.0015128,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,5m,T-blend,209550,366,0.074784,0.073293,0.076202,0.24628,0.24149,0.25088,-0.00021646,-0.00040292,-1.2729e-05,-2.4821e-05,-5.2574e-05,4.1983e-06,0.00042472,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,3m,T-blend,209550,366,0.072433,0.071031,0.07383,0.2389,0.23424,0.24361,-0.00012576,-0.00028457,2.9387e-05,-1.5155e-05,-3.8304e-05,6.0109e-06,0.0009592,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,2m,T-blend,209550,366,0.071474,0.070009,0.072864,0.23709,0.23232,0.24186,3.6452e-06,-0.00015631,0.00015183,-6.7573e-06,-2.9449e-05,1.3092e-05,0.00045812,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,60m,G-blend,209550,366,0.086759,0.085185,0.088364,0.28779,0.28256,0.29302,0.0015726,0.0002414,0.0029263,0.00050246,0.00026066,0.00076873,0.0027869,flat|T-blend,day_type/60m/UTC
validation,z,tau,45m,G-blend,209550,366,0.085676,0.084073,0.087163,0.28312,0.27799,0.28812,0.0014886,0.00031545,0.0026735,0.00049594,0.00027708,0.00074263,0.0014984,flat|T-blend,day_type/60m/UTC
validation,z,tau,30m,G-blend,209550,366,0.084162,0.082711,0.085626,0.27806,0.27309,0.28321,0.00116,0.00023181,0.0021163,0.00037502,0.00019074,0.0005624,-0.0020425,flat|T-blend,day_type/60m/UTC
validation,z,tau,20m,G-blend,209550,366,0.07965,0.078259,0.081045,0.26492,0.25991,0.26982,0.0034528,0.0026382,0.0043766,0.00075227,0.00059145,0.00093171,0.00073968,flat|T-blend,day_type/60m/UTC
validation,z,tau,15m,G-blend,209550,366,0.080129,0.078779,0.081548,0.26502,0.26026,0.2699,0.0028492,0.0021046,0.0037243,0.00047562,0.00034209,0.00061081,-0.00013839,flat|T-blend,day_type/60m/UTC
validation,z,tau,10m,G-blend,209550,366,0.079509,0.078145,0.080731,0.26299,0.25821,0.26777,0.0024906,0.0018055,0.0032457,0.00039383,0.00027624,0.00051365,0.0015128,flat|T-blend,day_type/60m/UTC
validation,z,tau,5m,G-blend,209550,366,0.075171,0.073775,0.076504,0.24859,0.24387,0.25319,0.0020955,0.0015274,0.0027274,0.0003626,0.00025443,0.00047544,0.00042472,flat|T-blend,day_type/60m/UTC
validation,z,tau,3m,G-blend,209550,366,0.072759,0.071428,0.074085,0.24105,0.23632,0.24586,0.002025,0.0014099,0.002652,0.00031153,0.0002098,0.0004134,0.0009592,flat|T-blend,day_type/60m/UTC
validation,z,tau,2m,G-blend,209550,366,0.071877,0.070506,0.073184,0.24015,0.23516,0.24504,0.0030599,0.0022995,0.0039025,0.00039634,0.00028853,0.00051424,0.00045812,flat|T-blend,day_type/60m/UTC
validation,z,tau,60m,T-blend,209550,366,0.08578,0.084023,0.087605,0.28309,0.2774,0.28872,-0.0031344,-0.0038882,-0.0023943,-0.00047695,-0.00058673,-0.00037055,0.0027869,flat|T-blend,day_type/60m/UTC
validation,z,tau,45m,T-blend,209550,366,0.08478,0.083026,0.086459,0.27902,0.27358,0.28442,-0.0026149,-0.0032207,-0.0019774,-0.00039954,-0.00048425,-0.00030878,0.0014984,flat|T-blend,day_type/60m/UTC
validation,z,tau,30m,T-blend,209550,366,0.0835,0.081884,0.085114,0.27472,0.26959,0.27992,-0.0021821,-0.002683,-0.0016983,-0.00028767,-0.00036209,-0.00021645,-0.0020425,flat|T-blend,day_type/60m/UTC
validation,z,tau,20m,T-blend,209550,366,0.078814,0.077301,0.080344,0.26079,0.25578,0.26566,-0.00067833,-0.0010211,-0.00031744,-8.2997e-05,-0.00013756,-2.5757e-05,0.00073968,flat|T-blend,day_type/60m/UTC
