contracts_per_fill,fee_bps,p_informed,policy,param,hours,mean_net,sd_net,mean_hedge_cost,turnover_btc_per_h,contracts_per_h,cost_c_per_contract,se_mean,util_lam0.0001,util_lam0.001,util_lam0.01
50,5,0.3,band,0.25,14967,-58.7221,78.7793,42.69,0.882205,1000.13,4.26846,0.873338,-59.0325,-61.8252,-89.753
50,5,0.3,band,0.5,14967,-45.0826,82.5613,27.0705,0.562612,1000.13,2.7067,0.840336,-45.4235,-48.4908,-79.1645
50,5,0.3,continuous,0,14967,-118.857,80.1339,118.699,2.43346,1000.13,11.8684,1.30242,-119.178,-122.068,-150.965
50,5,0.3,fill_only,0,14967,-51.472,59.3502,50.6935,1.0393,1000.13,5.06871,0.64904,-51.6481,-53.2332,-69.0842
50,5,0.3,mv_band,0.0001,14967,-18.9638,73.1956,0,0,1000.13,0,0.64593,-19.2317,-21.6426,-45.7518
50,5,0.3,mv_band,0.001,14967,-18.9494,73.0124,0.0146938,0.000317545,1000.13,0.00146919,0.64361,-19.2159,-21.6148,-45.6035
50,5,0.3,mv_band,0.01,14967,-22.7517,59.5138,7.71538,0.161338,1000.13,0.77144,0.559723,-22.9288,-24.5227,-40.4612
50,5,0.3,none,0,14967,-18.9638,73.1956,0,0,1000.13,0,0.64593,-19.2317,-21.6426,-45.7518
50,5,0.3,timed,5,14967,-63.8886,53.5031,56.3006,1.157,1000.13,5.62934,0.696681,-64.0318,-65.3199,-78.2015
50,5,0.3,timed,15,14967,-43.6664,58.3018,27.9688,0.576529,1000.13,2.79653,0.537794,-43.8363,-45.3659,-60.6619
50,12,0.3,band,0.02,14967,-217.13,162.288,214.044,1.93446,1000.13,21.4017,2.63674,-218.446,-230.298,-348.817
50,12,0.3,band,0.05,14967,-182.622,154.83,175.534,1.58895,1000.13,17.5512,2.38566,-183.821,-194.608,-302.484
50,12,0.3,band,0.1,14967,-153.846,147.739,142.613,1.29269,1000.13,14.2595,2.14129,-154.937,-164.759,-262.979
50,12,0.3,band,0.25,14967,-113.055,139.314,97.0228,0.882205,1000.13,9.70105,1.83955,-114.025,-122.759,-210.096
50,12,0.3,band,0.5,14967,-79.536,131.208,61.5238,0.562612,1000.13,6.1516,1.61895,-80.3967,-88.1437,-165.613
50,12,0.3,continuous,0,14967,-269.929,169.443,269.771,2.43346,1000.13,26.9737,2.91205,-271.365,-284.285,-413.484
50,12,0.3,fill_only,0,14967,-115.991,74.5422,115.212,1.0393,1000.13,11.5198,1.18537,-116.269,-118.769,-143.774
50,12,0.3,mv_band,0.0001,14967,-18.9638,73.1956,0,0,1000.13,0,0.64593,-19.2317,-21.6426,-45.7518
50,12,0.3,mv_band,0.001,14967,-18.9617,73.1852,0.00059087,5.16797e-06,1000.13,5.90795e-05,0.645709,-19.2295,-21.6397,-45.742
50,12,0.3,mv_band,0.01,14967,-21.5561,68.7605,3.66808,0.0342923,1000.13,0.366762,0.64243,-21.7925,-23.9201,-45.1961
50,12,0.3,none,0,14967,-18.9638,73.1956,0,0,1000.13,0,0.64593,-19.2317,-21.6426,-45.7518
50,12,0.3,timed,5,14967,-135.544,82.1011,127.956,1.157,1000.13,12.794,1.45425,-135.881,-138.914,-169.247
50,12,0.3,timed,15,14967,-79.2631,67.4284,63.5656,0.576529,1000.13,6.35575,0.83084,-79.4904,-81.5364,-101.996
250,0.6,0,band,0.02,14967,-108.939,181.971,109.867,11.284,4981.19,2.20564,1.84611,-110.595,-125.496,-274.507
250,0.6,0,band,0.05,14967,-101.126,182.656,102.1,10.4942,4981.19,2.04972,1.82917,-102.794,-117.808,-267.943
250,0.6,0,band,0.1,14967,-91.6237,184.649,92.6999,9.53837,4981.19,1.861,1.81851,-93.3285,-108.671,-262.1
250,0.6,0,band,0.25,14967,-74.9209,195.036,75.8789,7.82327,4981.19,1.52331,1.85615,-76.8228,-93.9403,-265.115
250,0.6,0,band,0.5,14967,-61.1507,217.956,61.5837,6.36159,4981.19,1.23632,2.00972,-63.526,-84.9032,-298.675
250,0.6,0,continuous,0,14967,-116.386,181.835,117.276,12.0371,4981.19,2.35437,1.86458,-118.039,-132.918,-281.706
250,0.6,0,fill_only,0,14967,-52.8598,274.938,49.9143,5.12217,4981.19,1.00206,2.38261,-56.6393,-90.6553,-430.815
250,0.6,0,mv_band,0.0001,14967,-4.60553,352.739,0.321381,0.0347056,4981.19,0.00645189,2.92162,-10.8268,-66.818,-626.73
250,0.6,0,mv_band,0.001,14967,-24.9889,235.033,23.1603,2.40979,4981.19,0.464955,1.98238,-27.7509,-52.6091,-301.191
250,0.6,0,mv_band,0.01,14967,-85.5486,178.47,86.1872,8.85846,4981.19,1.73025,1.62641,-87.1411,-101.474,-244.807
250,0.6,0,none,0,14967,-4.62262,359.792,0,0,4981.19,0,2.97617,-11.0951,-69.3476,-651.873
250,0.6,0,timed,5,14967,-55.9605,225.861,55.4263,5.7049,4981.19,1.11271,1.98118,-58.5112,-81.4671,-311.027
250,0.6,0,timed,15,14967,-30.4378,279.785,27.5817,2.84929,4981.19,0.553717,2.39987,-34.3518,-69.5776,-421.836
250,5,0,band,0.02,14967,-548.408,396.762,549.336,11.284,4981.19,11.0282,6.3312,-556.279,-627.118,-1335.51
250,5,0,band,0.05,14967,-509.528,392.81,510.502,10.4942,4981.19,10.2486,6.17342,-517.243,-586.678,-1281.02
250,5,0,band,0.1,14967,-462.423,387.487,463.5,9.53837,4981.19,9.30499,5.97528,-469.931,-537.497,-1213.16
250,5,0,band,0.25,14967,-378.436,377.965,379.394,7.82327,4981.19,7.61654,5.54503,-385.579,-449.865,-1092.73
250,5,0,band,0.5,14967,-307.486,375.876,307.919,6.36159,4981.19,6.18162,5.1715,-314.55,-378.127,-1013.9
250,5,0,continuous,0,14967,-585.489,399.575,586.379,12.0371,4981.19,11.7719,6.47845,-593.472,-665.319,-1383.79
250,5,0,fill_only,0,14967,-252.517,294.603,249.572,5.12217,4981.19,5.01028,3.32478,-256.857,-295.913,-686.472
250,5,0,mv_band,0.0001,14967,-4.63566,359.757,0.00196728,3.74545e-05,4981.19,3.94942e-05,2.97607,-11.1069,-69.3481,-651.76
