period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,variant
test,z,all,all,T-blend,3376125,632,0.076805,0.07598,0.077568,0.2534,0.25064,0.25596,-0.0030987,-0.0033721,-0.0028427,-0.00051196,-0.00056208,-0.00046054,-0.0002451,G-blend,training window 6 months
test,z,tau,60m,G-blend,375125,632,0.086705,0.085577,0.087809,0.28586,0.28195,0.28983,0,0,0,0,0,0,-0.00027058,G-blend,training window 6 months
test,z,tau,45m,G-blend,375125,632,0.084959,0.083879,0.086032,0.28039,0.27684,0.28395,0,0,0,0,0,0,-0.001097,G-blend,training window 6 months
test,z,tau,30m,G-blend,375125,632,0.084304,0.083185,0.085406,0.278,0.27406,0.28181,0,0,0,0,0,0,-0.00075575,G-blend,training window 6 months
test,z,tau,20m,G-blend,375125,632,0.079392,0.078298,0.080546,0.26317,0.25932,0.26729,0,0,0,0,0,0,0.0011929,G-blend,training window 6 months
test,z,tau,15m,G-blend,375125,632,0.078772,0.077716,0.079885,0.26033,0.25665,0.26452,0,0,0,0,0,0,0.00053449,G-blend,training window 6 months
test,z,tau,10m,G-blend,375125,632,0.076676,0.075728,0.077737,0.25386,0.2504,0.25753,0,0,0,0,0,0,-8.6638e-05,G-blend,training window 6 months
test,z,tau,5m,G-blend,375125,632,0.070603,0.069563,0.071644,0.23486,0.23139,0.23854,0,0,0,0,0,0,-0.0020113,G-blend,training window 6 months
test,z,tau,3m,G-blend,375125,632,0.067943,0.066997,0.068964,0.2281,0.22447,0.23186,0,0,0,0,0,0,0.0004092,G-blend,training window 6 months
test,z,tau,2m,G-blend,375125,632,0.066504,0.065472,0.06751,0.2239,0.22016,0.22776,0,0,0,0,0,0,-0.00012129,G-blend,training window 6 months
test,z,tau,60m,T-blend,375125,632,0.086149,0.084954,0.087318,0.28267,0.27878,0.28652,-0.003187,-0.0036662,-0.0027259,-0.00055526,-0.00064601,-0.00046822,-0.00027058,G-blend,training window 6 months
test,z,tau,45m,T-blend,375125,632,0.08441,0.083299,0.085551,0.27736,0.27378,0.28096,-0.0030275,-0.0034622,-0.0025839,-0.00054832,-0.00063229,-0.00046293,-0.001097,G-blend,training window 6 months
test,z,tau,30m,T-blend,375125,632,0.083865,0.082684,0.085008,0.27509,0.2712,0.27894,-0.002913,-0.0033792,-0.0024823,-0.0004385,-0.00051651,-0.00035694,-0.00075575,G-blend,training window 6 months
test,z,tau,20m,T-blend,375125,632,0.078893,0.077727,0.080074,0.26006,0.25631,0.26418,-0.0031079,-0.0035691,-0.0026392,-0.00049911,-0.00058754,-0.00041404,0.0011929,G-blend,training window 6 months
test,z,tau,15m,T-blend,375125,632,0.078305,0.077205,0.079446,0.25754,0.25396,0.26159,-0.0027874,-0.003253,-0.0023231,-0.0004666,-0.00053713,-0.00039049,0.00053449,G-blend,training window 6 months
test,z,tau,10m,T-blend,375125,632,0.076267,0.075266,0.077354,0.25119,0.24798,0.25472,-0.0026699,-0.003135,-0.0021762,-0.00040922,-0.00046711,-0.00034481,-8.6638e-05,G-blend,training window 6 months
test,z,tau,5m,T-blend,375125,632,0.07013,0.06904,0.071214,0.23212,0.22869,0.23566,-0.0027399,-0.0032117,-0.0022848,-0.00047246,-0.00054195,-0.00039929,-0.0020113,G-blend,training window 6 months
test,z,tau,3m,T-blend,375125,632,0.067359,0.066377,0.068417,0.22443,0.22105,0.228,-0.0036686,-0.0042616,-0.0031647,-0.00058394,-0.00066114,-0.00051108,0.0004092,G-blend,training window 6 months
test,z,tau,2m,T-blend,375125,632,0.06587,0.064779,0.066928,0.22011,0.21652,0.2237,-0.0037873,-0.0044329,-0.0031853,-0.00063426,-0.00071041,-0.00054831,-0.00012129,G-blend,training window 6 months
test,z,all,all,G-blend,3376125,632,0.077308,0.076502,0.078034,0.25589,0.25322,0.25848,0,0,0,0,0,0,-0.0002451,G-blend,training window 24 months
test,z,all,all,T-blend,3376125,632,0.076766,0.075935,0.077524,0.25303,0.25026,0.2556,-0.0028607,-0.0031409,-0.0026079,-0.0005416,-0.00059908,-0.00048474,-0.0002451,G-blend,training window 24 months
test,z,tau,60m,G-blend,375125,632,0.08665,0.085514,0.087756,0.28513,0.28129,0.28892,0,0,0,0,0,0,-0.00027058,G-blend,training window 24 months
test,z,tau,45m,G-blend,375125,632,0.084959,0.083922,0.086028,0.27976,0.27643,0.2833,0,0,0,0,0,0,-0.001097,G-blend,training window 24 months
test,z,tau,30m,G-blend,375125,632,0.084236,0.083144,0.085325,0.27688,0.2732,0.2806,0,0,0,0,0,0,-0.00075575,G-blend,training window 24 months
test,z,tau,20m,G-blend,375125,632,0.079311,0.078204,0.080418,0.26227,0.25853,0.2662,0,0,0,0,0,0,0.0011929,G-blend,training window 24 months
test,z,tau,15m,G-blend,375125,632,0.078665,0.077619,0.079753,0.25944,0.25581,0.26359,0,0,0,0,0,0,0.00053449,G-blend,training window 24 months
test,z,tau,10m,G-blend,375125,632,0.076706,0.075761,0.077759,0.25341,0.25013,0.25692,0,0,0,0,0,0,-8.6638e-05,G-blend,training window 24 months
test,z,tau,5m,G-blend,375125,632,0.070683,0.069656,0.071699,0.23476,0.23134,0.23834,0,0,0,0,0,0,-0.0020113,G-blend,training window 24 months
test,z,tau,3m,G-blend,375125,632,0.067975,0.067043,0.068982,0.22778,0.22423,0.23143,0,0,0,0,0,0,0.0004092,G-blend,training window 24 months
test,z,tau,2m,G-blend,375125,632,0.066588,0.065564,0.067574,0.22362,0.22,0.22737,0,0,0,0,0,0,-0.00012129,G-blend,training window 24 months
test,z,tau,60m,T-blend,375125,632,0.086143,0.084929,0.087346,0.28238,0.27847,0.2862,-0.0027469,-0.003278,-0.002243,-0.00050696,-0.00062852,-0.00038755,-0.00027058,G-blend,training window 24 months
test,z,tau,45m,T-blend,375125,632,0.084364,0.083245,0.085509,0.27691,0.27334,0.2806,-0.002843,-0.0033276,-0.0023649,-0.00059547,-0.00070394,-0.00048112,-0.001097,G-blend,training window 24 months
test,z,tau,30m,T-blend,375125,632,0.083798,0.082612,0.084962,0.27442,0.27068,0.27821,-0.0024592,-0.0028967,-0.0020145,-0.00043767,-0.00053918,-0.00033734,-0.00075575,G-blend,training window 24 months
test,z,tau,20m,T-blend,375125,632,0.078804,0.077623,0.079998,0.25945,0.25578,0.26353,-0.0028172,-0.0033082,-0.0023209,-0.00050643,-0.00060747,-0.00040514,0.0011929,G-blend,training window 24 months
test,z,tau,15m,T-blend,375125,632,0.078206,0.077111,0.079358,0.25689,0.25332,0.26087,-0.0025508,-0.0029836,-0.0021296,-0.00045899,-0.00053643,-0.00037754,0.00053449,G-blend,training window 24 months
test,z,tau,10m,T-blend,375125,632,0.076232,0.075234,0.077332,0.25086,0.24772,0.25427,-0.0025474,-0.0029874,-0.0020971,-0.00047338,-0.00054117,-0.00040033,-8.6638e-05,G-blend,training window 24 months
test,z,tau,5m,T-blend,375125,632,0.070119,0.069042,0.071202,0.23201,0.22861,0.23548,-0.0027487,-0.0032076,-0.0023236,-0.00056335,-0.00063161,-0.00049076,-0.0020113,G-blend,training window 24 months
test,z,tau,3m,T-blend,375125,632,0.067357,0.066375,0.068421,0.22433,0.22102,0.22778,-0.0034452,-0.0039365,-0.0030142,-0.00061845,-0.00068915,-0.0005533,0.0004092,G-blend,training window 24 months
test,z,tau,2m,T-blend,375125,632,0.065875,0.064789,0.066927,0.22003,0.21649,0.22358,-0.0035884,-0.0041108,-0.0030668,-0.00071372,-0.00078497,-0.00063796,-0.00012129,G-blend,training window 24 months
test,z,all,all,G-blend,3376125,632,0.077262,0.076479,0.077995,0.25581,0.25312,0.25844,0,0,0,0,0,0,-0.0002451,G-blend,main
test,z,all,all,T-blend,3376125,632,0.076751,0.075927,0.077514,0.25296,0.25023,0.25552,-0.0028492,-0.0031101,-0.0026113,-0.0005112,-0.00056226,-0.00046123,-0.0002451,G-blend,main
test,z,tau,60m,G-blend,375125,632,0.086628,0.085482,0.087736,0.28514,0.28125,0.28894,0,0,0,0,0,0,-0.00027058,G-blend,main
test,z,tau,45m,G-blend,375125,632,0.084897,0.083829,0.085982,0.27967,0.27623,0.28336,0,0,0,0,0,0,-0.001097,G-blend,main
test,z,tau,30m,G-blend,375125,632,0.0842,0.083102,0.085303,0.27686,0.27315,0.28059,0,0,0,0,0,0,-0.00075575,G-blend,main
test,z,tau,20m,G-blend,375125,632,0.079269,0.078165,0.080395,0.26223,0.25837,0.26616,0,0,0,0,0,0,0.0011929,G-blend,main
test,z,tau,15m,G-blend,375125,632,0.078629,0.07756,0.079735,0.25932,0.25574,0.26347,0,0,0,0,0,0,0.00053449,G-blend,main
test,z,tau,10m,G-blend,375125,632,0.076639,0.075698,0.077693,0.25319,0.24987,0.2567,0,0,0,0,0,0,-8.6638e-05,G-blend,main
test,z,tau,5m,G-blend,375125,632,0.070612,0.069576,0.071636,0.23458,0.23116,0.23825,0,0,0,0,0,0,-0.0020113,G-blend,main
test,z,tau,3m,G-blend,375125,632,0.06794,0.067009,0.06895,0.22775,0.22413,0.23145,0,0,0,0,0,0,0.0004092,G-blend,main
