period,model,split,q_bucket,n,n_events,mean_model_p,freq,freq_lo,freq_hi,ratio_freq_to_p,ratio_lo,ratio_hi
validation,G-raw-2h,all,<0.2%,452628,2724,0.00075313,0.0060182,0.0053206,0.0067105,7.9909,7.0593,8.9128
validation,G-raw-2h,all,0.2-0.5%,150876,1482,0.0030872,0.0098226,0.0089077,0.010758,3.1817,2.8836,3.485
validation,G-raw-2h,all,0.5-1%,150876,1945,0.0063966,0.012891,0.011865,0.013983,2.0153,1.8552,2.1862
validation,G-raw-2h,all,1-2%,150876,2601,0.012527,0.017239,0.016055,0.018488,1.3762,1.2814,1.4762
validation,G-raw-2h,all,2-5%,301752,8515,0.031949,0.028219,0.026784,0.029732,0.88324,0.83841,0.93079
validation,G-raw-2h,all,5-10%,150876,7293,0.067618,0.048338,0.046545,0.050288,0.71486,0.68839,0.74386
validation,G-raw-2h,up,<0.2%,226314,1350,0.00075313,0.0059652,0.004868,0.0070922,7.9205,6.465,9.4229
validation,G-raw-2h,up,0.2-0.5%,75438,717,0.0030872,0.0095045,0.0080655,0.010981,3.0787,2.6116,3.5584
validation,G-raw-2h,up,0.5-1%,75438,961,0.0063966,0.012739,0.011082,0.014408,1.9915,1.7322,2.2534
validation,G-raw-2h,up,1-2%,75438,1274,0.012527,0.016888,0.015096,0.018726,1.3481,1.2046,1.495
validation,G-raw-2h,up,2-5%,150876,4126,0.031949,0.027347,0.02517,0.029704,0.85596,0.78779,0.92979
validation,G-raw-2h,up,5-10%,75438,3583,0.067618,0.047496,0.044785,0.050402,0.70241,0.66238,0.74552
validation,G-raw-2h,down,<0.2%,226314,1374,0.00075313,0.0060712,0.0051376,0.0071052,8.0613,6.8234,9.432
validation,G-raw-2h,down,0.2-0.5%,75438,765,0.0030872,0.010141,0.0088234,0.011639,3.2848,2.8571,3.7704
validation,G-raw-2h,down,0.5-1%,75438,984,0.0063966,0.013044,0.011569,0.014714,2.0392,1.8083,2.3011
validation,G-raw-2h,down,1-2%,75438,1327,0.012527,0.017591,0.015959,0.019538,1.4042,1.2735,1.5597
validation,G-raw-2h,down,2-5%,150876,4389,0.031949,0.02909,0.027067,0.0314,0.91052,0.84705,0.98318
validation,G-raw-2h,down,5-10%,75438,3710,0.067618,0.049179,0.046331,0.052168,0.72731,0.68526,0.77148
validation,G-raw-2h,tau_2-5m,<0.2%,150876,587,0.00080251,0.0038906,0.0032454,0.0045985,4.8481,4.0411,5.7334
validation,G-raw-2h,tau_2-5m,0.2-0.5%,50292,336,0.003246,0.006681,0.0057209,0.0076831,2.0582,1.7627,2.368
validation,G-raw-2h,tau_2-5m,0.5-1%,50292,447,0.0066723,0.0088881,0.0078226,0.0099856,1.3321,1.1717,1.4978
validation,G-raw-2h,tau_2-5m,1-2%,50292,604,0.012973,0.01201,0.010776,0.013294,0.92578,0.83002,1.0245
validation,G-raw-2h,tau_2-5m,2-5%,100584,2146,0.032747,0.021335,0.019819,0.023049,0.65152,0.60505,0.70376
validation,G-raw-2h,tau_2-5m,5-10%,50292,2039,0.068806,0.040543,0.038349,0.042893,0.58924,0.55732,0.62341
validation,G-raw-2h,tau_10-20m,<0.2%,150876,863,0.00073287,0.0057199,0.0048223,0.0066615,7.8048,6.5811,9.0905
validation,G-raw-2h,tau_10-20m,0.2-0.5%,50292,480,0.0030222,0.0095443,0.008406,0.010788,3.158,2.7811,3.5689
validation,G-raw-2h,tau_10-20m,0.5-1%,50292,634,0.006284,0.012606,0.011325,0.01403,2.0061,1.8019,2.2324
validation,G-raw-2h,tau_10-20m,1-2%,50292,861,0.012345,0.01712,0.015706,0.018876,1.3867,1.2721,1.529
validation,G-raw-2h,tau_10-20m,2-5%,100584,2841,0.031624,0.028245,0.026405,0.030172,0.89316,0.83487,0.95414
validation,G-raw-2h,tau_10-20m,5-10%,50292,2387,0.067136,0.047463,0.045171,0.050014,0.70697,0.67282,0.745
validation,G-raw-2h,tau_30-60m,<0.2%,150876,1274,0.00072402,0.008444,0.0072758,0.0095967,11.663,10.049,13.255
validation,G-raw-2h,tau_30-60m,0.2-0.5%,50292,666,0.0029934,0.013243,0.011789,0.0147,4.424,3.9382,4.9108
validation,G-raw-2h,tau_30-60m,0.5-1%,50292,864,0.0062335,0.01718,0.015487,0.01885,2.756,2.4844,3.0242
validation,G-raw-2h,tau_30-60m,1-2%,50292,1136,0.012263,0.022588,0.020766,0.024407,1.8419,1.6933,1.9902
validation,G-raw-2h,tau_30-60m,2-5%,100584,3528,0.031475,0.035075,0.033095,0.037152,1.1144,1.0515,1.1804
validation,G-raw-2h,tau_30-60m,5-10%,50292,2867,0.066913,0.057007,0.054437,0.059679,0.85196,0.81354,0.89186
validation,G-blend,all,<0.2%,535414,1973,0.00045339,0.003685,0.0031276,0.0042791,8.1276,6.9037,9.4703
validation,G-blend,all,0.2-0.5%,151926,1256,0.0033171,0.0082672,0.0074331,0.0091811,2.4923,2.2415,2.7671
validation,G-blend,all,0.5-1%,135056,1539,0.0072605,0.011395,0.010419,0.012518,1.5695,1.4356,1.7235
validation,G-blend,all,1-2%,151510,2595,0.014512,0.017128,0.015935,0.018528,1.1802,1.0983,1.2777
validation,G-blend,all,2-5%,211654,5940,0.03267,0.028065,0.02637,0.029873,0.85903,0.80734,0.91446
validation,G-blend,all,5-10%,126284,6546,0.070073,0.051836,0.049147,0.054516,0.73974,0.7011,0.77822
validation,G-blend,all,10-20%,44960,4509,0.12959,0.10029,0.093967,0.10605,0.77388,0.72565,0.81845
validation,G-blend,up,<0.2%,267707,913,0.00045339,0.0034104,0.0027254,0.0041228,7.5221,6.0203,9.1981
validation,G-blend,up,0.2-0.5%,75963,601,0.0033171,0.0079117,0.0067807,0.0091141,2.3851,2.0448,2.7486
validation,G-blend,up,0.5-1%,67528,761,0.0072605,0.011269,0.0098768,0.012809,1.5522,1.3599,1.7648
validation,G-blend,up,1-2%,75755,1288,0.014512,0.017002,0.015172,0.019034,1.1716,1.0449,1.3114
validation,G-blend,up,2-5%,105827,2910,0.03267,0.027498,0.024948,0.030203,0.84168,0.76401,0.92494
validation,G-blend,up,5-10%,63142,3176,0.070073,0.050299,0.046179,0.054411,0.71782,0.6592,0.77671
validation,G-blend,up,10-20%,22480,2257,0.12959,0.1004,0.089233,0.11104,0.77474,0.68897,0.85449
validation,G-blend,down,<0.2%,267707,1060,0.00045339,0.0039596,0.0031381,0.0048604,8.7332,6.884,10.708
validation,G-blend,down,0.2-0.5%,75963,655,0.0033171,0.0086226,0.0073653,0.010004,2.5994,2.219,3.0153
validation,G-blend,down,0.5-1%,67528,778,0.0072605,0.011521,0.010107,0.013118,1.5868,1.3919,1.8063
validation,G-blend,down,1-2%,75755,1307,0.014512,0.017253,0.015577,0.019278,1.1889,1.0729,1.3282
validation,G-blend,down,2-5%,105827,3030,0.03267,0.028632,0.026293,0.031372,0.87639,0.80474,0.96016
validation,G-blend,down,5-10%,63142,3370,0.070073,0.053372,0.049631,0.05754,0.76166,0.70781,0.82092
validation,G-blend,down,10-20%,22480,2252,0.12959,0.10018,0.090863,0.10953,0.77302,0.70402,0.84382
validation,G-blend,tau_2-5m,<0.2%,228208,640,0.00037009,0.0028045,0.00226,0.0033638,7.5778,6.094,9.1028
validation,G-blend,tau_2-5m,0.2-0.5%,48650,400,0.003302,0.008222,0.0071354,0.0093135,2.49,2.1628,2.8207
validation,G-blend,tau_2-5m,0.5-1%,41640,483,0.0072293,0.011599,0.010358,0.012939,1.6045,1.4331,1.7903
validation,G-blend,tau_2-5m,1-2%,44708,791,0.01446,0.017693,0.015964,0.019452,1.2236,1.1042,1.3452
validation,G-blend,tau_2-5m,2-5%,55506,1589,0.032143,0.028628,0.026435,0.031216,0.89063,0.82242,0.97128
validation,G-blend,tau_2-5m,5-10%,26158,1442,0.069007,0.055127,0.050877,0.060145,0.79885,0.7366,0.87149
validation,G-blend,tau_2-5m,10-20%,7614,792,0.1277,0.10402,0.092687,0.11501,0.81454,0.72596,0.90297
validation,G-blend,tau_10-20m,<0.2%,173666,700,0.00048007,0.0040307,0.0031679,0.0050204,8.3961,6.5968,10.462
validation,G-blend,tau_10-20m,0.2-0.5%,51706,413,0.0033162,0.0079875,0.0068868,0.0092941,2.4087,2.0757,2.8022
validation,G-blend,tau_10-20m,0.5-1%,45772,482,0.0072686,0.01053,0.0093147,0.011956,1.4488,1.281,1.6439
validation,G-blend,tau_10-20m,1-2%,51368,842,0.014527,0.016392,0.014793,0.018194,1.1284,1.0179,1.2529
validation,G-blend,tau_10-20m,2-5%,72944,1972,0.032724,0.027034,0.024876,0.029337,0.82614,0.7604,0.8965
validation,G-blend,tau_10-20m,5-10%,42796,2223,0.069689,0.051944,0.048486,0.055692,0.74537,0.69552,0.7997
validation,G-blend,tau_10-20m,10-20%,14084,1397,0.12955,0.099191,0.091342,0.10738,0.76563,0.70622,0.82877
validation,G-blend,tau_30-60m,<0.2%,133540,633,0.00056105,0.0047402,0.0036426,0.005961,8.4487,6.5014,10.655
validation,G-blend,tau_30-60m,0.2-0.5%,51570,443,0.0033324,0.0085903,0.0073115,0.0099111,2.5778,2.1972,2.9728
validation,G-blend,tau_30-60m,0.5-1%,47644,574,0.00728,0.012048,0.010645,0.013563,1.6549,1.4612,1.864
validation,G-blend,tau_30-60m,1-2%,55434,962,0.01454,0.017354,0.015677,0.019099,1.1935,1.0785,1.313
validation,G-blend,tau_30-60m,2-5%,83204,2379,0.032974,0.028592,0.026434,0.030854,0.86711,0.80151,0.93595
validation,G-blend,tau_30-60m,5-10%,57330,2881,0.070845,0.050253,0.046922,0.053628,0.70934,0.66206,0.75771
validation,G-blend,tau_30-60m,10-20%,23262,2320,0.13023,0.099733,0.091705,0.10682,0.7658,0.70401,0.82062
validation,T-blend,all,<0.2%,141998,213,0.0012049,0.0015,0.0010717,0.0019883,1.2449,0.89377,1.6454
validation,T-blend,all,0.2-0.5%,251602,967,0.0034251,0.0038434,0.0032192,0.0045422,1.1221,0.93971,1.3282
validation,T-blend,all,0.5-1%,268792,1775,0.0072634,0.0066036,0.0058565,0.0074554,0.90916,0.80628,1.0255
validation,T-blend,all,1-2%,280714,3826,0.014382,0.01363,0.0126,0.014825,0.94766,0.87615,1.0307
validation,T-blend,all,2-5%,301992,9099,0.03158,0.03013,0.028394,0.031915,0.95409,0.89903,1.0109
validation,T-blend,all,5-10%,98606,6664,0.066806,0.067582,0.06393,0.071132,1.0116,0.95661,1.0646
validation,T-blend,all,10-20%,14146,2009,0.12041,0.14202,0.13204,0.1513,1.1795,1.0971,1.2542
validation,T-blend,up,<0.2%,70999,104,0.0012049,0.0014648,0.00088155,0.0021735,1.2157,0.73257,1.7966
validation,T-blend,up,0.2-0.5%,125801,436,0.0034251,0.0034658,0.0026968,0.0042598,1.0119,0.78686,1.2423
validation,T-blend,up,0.5-1%,134396,836,0.0072634,0.0062204,0.0052334,0.0072131,0.85641,0.72037,0.993
validation,T-blend,up,1-2%,140357,1888,0.014382,0.013451,0.011875,0.015191,0.93527,0.82567,1.0565
validation,T-blend,up,2-5%,150996,4477,0.03158,0.02965,0.027041,0.032381,0.93889,0.85643,1.0256
validation,T-blend,up,5-10%,49303,3237,0.066806,0.065655,0.059636,0.071624,0.98278,0.8931,1.0714
validation,T-blend,up,10-20%,7073,1027,0.12041,0.1452,0.12601,0.16445,1.2059,1.0456,1.3663
validation,T-blend,down,<0.2%,70999,109,0.0012049,0.0015352,0.00094664,0.002243,1.2742,0.78547,1.8649
validation,T-blend,down,0.2-0.5%,125801,531,0.0034251,0.004221,0.0032695,0.0052883,1.2323,0.95351,1.5441
validation,T-blend,down,0.5-1%,134396,939,0.0072634,0.0069868,0.0058916,0.0082219,0.96192,0.81136,1.1323
validation,T-blend,down,1-2%,140357,1938,0.014382,0.013808,0.01232,0.015579,0.96004,0.85585,1.0829
validation,T-blend,down,2-5%,150996,4622,0.03158,0.03061,0.028237,0.033281,0.9693,0.89358,1.0547
validation,T-blend,down,5-10%,49303,3427,0.066806,0.069509,0.064372,0.074984,1.0405,0.96461,1.1231
validation,T-blend,down,10-20%,7073,982,0.12041,0.13884,0.1233,0.15544,1.1531,1.0244,1.2893
validation,T-blend,tau_2-5m,<0.2%,84302,76,0.0011371,0.00090152,0.00057097,0.0012711,0.79283,0.49863,1.1189
validation,T-blend,tau_2-5m,0.2-0.5%,99902,329,0.0033411,0.0032932,0.0025686,0.0040253,0.98568,0.76835,1.205
validation,T-blend,tau_2-5m,0.5-1%,84692,541,0.0072102,0.0063879,0.0054839,0.0073227,0.88595,0.76092,1.0151
validation,T-blend,tau_2-5m,1-2%,81526,1116,0.014327,0.013689,0.012287,0.015117,0.95547,0.85824,1.0553
validation,T-blend,tau_2-5m,2-5%,77948,2266,0.031049,0.029071,0.026869,0.031525,0.93629,0.86533,1.0151
validation,T-blend,tau_2-5m,5-10%,21204,1428,0.066684,0.067346,0.061477,0.073217,1.0099,0.92376,1.0974
validation,T-blend,tau_2-5m,10-20%,3040,400,0.1202,0.13158,0.11497,0.14895,1.0947,0.95359,1.2383
validation,T-blend,tau_10-20m,<0.2%,40874,89,0.0012721,0.0021774,0.0012592,0.0033311,1.7117,0.99233,2.6233
validation,T-blend,tau_10-20m,0.2-0.5%,87418,354,0.0034306,0.0040495,0.0031158,0.0051207,1.1804,0.90886,1.4948
validation,T-blend,tau_10-20m,0.5-1%,91258,604,0.0072461,0.0066186,0.0056184,0.0078502,0.9134,0.77538,1.083
validation,T-blend,tau_10-20m,1-2%,93280,1210,0.014383,0.012972,0.011646,0.014564,0.90188,0.80983,1.0132
validation,T-blend,tau_10-20m,2-5%,102150,3007,0.031649,0.029437,0.027271,0.031809,0.93011,0.86143,1.0051
validation,T-blend,tau_10-20m,5-10%,32760,2160,0.06655,0.065934,0.06118,0.070645,0.99075,0.92065,1.0619
validation,T-blend,tau_10-20m,10-20%,4882,640,0.12054,0.13109,0.11808,0.14518,1.0875,0.98127,1.2073
validation,T-blend,tau_30-60m,<0.2%,16822,48,0.0013813,0.0028534,0.0012558,0.0051312,2.0657,0.90264,3.7112
validation,T-blend,tau_30-60m,0.2-0.5%,64282,284,0.0035483,0.004418,0.0032546,0.0058029,1.2451,0.91654,1.6352
validation,T-blend,tau_30-60m,0.5-1%,92842,630,0.0073289,0.0067857,0.0057053,0.0079886,0.92589,0.77783,1.0894
validation,T-blend,tau_30-60m,1-2%,105908,1500,0.014425,0.014163,0.01269,0.015662,0.98189,0.87985,1.0865
validation,T-blend,tau_30-60m,2-5%,121894,3826,0.031861,0.031388,0.029151,0.033703,0.98515,0.91444,1.0578
validation,T-blend,tau_30-60m,5-10%,44642,3076,0.067051,0.068904,0.064426,0.073475,1.0276,0.96045,1.096
validation,T-blend,tau_30-60m,10-20%,6224,969,0.1204,0.15569,0.14157,0.16863,1.2931,1.1772,1.3966
validation,MIX-blend,all,<0.2%,176462,302,0.0010518,0.0017114,0.0012875,0.0022124,1.6271,1.2189,2.1084
validation,MIX-blend,all,0.2-0.5%,221242,907,0.0034047,0.0040996,0.0034247,0.0048076,1.2041,1.0051,1.4123
validation,MIX-blend,all,0.5-1%,236504,1529,0.0072852,0.006465,0.0057381,0.0073049,0.88742,0.78687,1.0026
validation,MIX-blend,all,1-2%,264858,3254,0.014464,0.012286,0.011342,0.013381,0.84943,0.78438,0.92551
validation,MIX-blend,all,2-5%,319370,8678,0.031966,0.027172,0.025509,0.029005,0.85004,0.7982,0.90725
validation,MIX-blend,all,5-10%,121252,7451,0.067194,0.061451,0.058152,0.064579,0.91452,0.86533,0.96131
validation,MIX-blend,all,10-20%,18158,2433,0.12052,0.13399,0.12512,0.14259,1.1118,1.04,1.1827
validation,MIX-blend,up,<0.2%,88231,141,0.0010518,0.0015981,0.0010502,0.002228,1.5194,0.99171,2.1134
validation,MIX-blend,up,0.2-0.5%,110621,415,0.0034047,0.0037515,0.0029536,0.0045961,1.1019,0.86716,1.3487
validation,MIX-blend,up,0.5-1%,118252,724,0.0072852,0.0061225,0.0051455,0.007112,0.84041,0.70584,0.97606
validation,MIX-blend,up,1-2%,132429,1597,0.014464,0.012059,0.010658,0.013616,0.83377,0.73647,0.94102
validation,MIX-blend,up,2-5%,159685,4264,0.031966,0.026703,0.02426,0.029313,0.83535,0.7589,0.91703
validation,MIX-blend,up,5-10%,60626,3634,0.067194,0.059941,0.054748,0.065023,0.89206,0.81435,0.96743
validation,MIX-blend,up,10-20%,9079,1231,0.12052,0.13559,0.11854,0.15266,1.1251,0.98389,1.2658
validation,MIX-blend,down,<0.2%,88231,161,0.0010518,0.0018248,0.0012083,0.0025406,1.7349,1.1465,2.4216
validation,MIX-blend,down,0.2-0.5%,110621,492,0.0034047,0.0044476,0.0034828,0.0055916,1.3063,1.0238,1.6435
validation,MIX-blend,down,0.5-1%,118252,805,0.0072852,0.0068075,0.0057023,0.0080594,0.93443,0.78281,1.1059
validation,MIX-blend,down,1-2%,132429,1657,0.014464,0.012512,0.011071,0.014189,0.8651,0.76538,0.98137
validation,MIX-blend,down,2-5%,159685,4414,0.031966,0.027642,0.025375,0.030287,0.86473,0.79342,0.94754
validation,MIX-blend,down,5-10%,60626,3817,0.067194,0.06296,0.058546,0.06798,0.93699,0.87063,1.0117
validation,MIX-blend,down,10-20%,9079,1202,0.12052,0.13239,0.11787,0.14829,1.0986,0.97877,1.2301
validation,MIX-blend,tau_2-5m,<0.2%,98806,103,0.00097092,0.0010424,0.00067065,0.00141,1.0737,0.68578,1.4672
validation,MIX-blend,tau_2-5m,0.2-0.5%,86352,310,0.0033402,0.00359,0.0028033,0.0043821,1.0748,0.84039,1.3109
validation,MIX-blend,tau_2-5m,0.5-1%,76508,469,0.007239,0.0061301,0.0052341,0.0070454,0.84681,0.72306,0.97295
validation,MIX-blend,tau_2-5m,1-2%,78912,1006,0.014408,0.012748,0.011467,0.014066,0.88478,0.79585,0.97589
validation,MIX-blend,tau_2-5m,2-5%,83658,2269,0.031402,0.027122,0.024986,0.029514,0.86371,0.79581,0.93985
validation,MIX-blend,tau_2-5m,5-10%,24870,1555,0.066743,0.062525,0.057453,0.068161,0.93681,0.85938,1.0189
validation,MIX-blend,tau_2-5m,10-20%,3512,445,0.11998,0.12671,0.11148,0.14307,1.0561,0.93062,1.1887
validation,MIX-blend,tau_10-20m,<0.2%,51376,115,0.0011184,0.0022384,0.001348,0.0032983,2.0014,1.2055,2.957
validation,MIX-blend,tau_10-20m,0.2-0.5%,76022,324,0.0034119,0.0042619,0.0032923,0.0054025,1.2491,0.96437,1.5838
validation,MIX-blend,tau_10-20m,0.5-1%,80476,513,0.0072778,0.0063746,0.0053749,0.0075636,0.87589,0.7388,1.0398
validation,MIX-blend,tau_10-20m,1-2%,88482,1033,0.014454,0.011675,0.010469,0.013136,0.80771,0.72442,0.90873
validation,MIX-blend,tau_10-20m,2-5%,108936,2819,0.032035,0.025878,0.023854,0.028113,0.80778,0.74476,0.87753
validation,MIX-blend,tau_10-20m,5-10%,41104,2476,0.066948,0.060237,0.056106,0.064427,0.89976,0.83978,0.96201
validation,MIX-blend,tau_10-20m,10-20%,6222,784,0.12107,0.126,0.11414,0.13847,1.0407,0.94344,1.1449
validation,MIX-blend,tau_30-60m,<0.2%,26280,84,0.0012256,0.0031963,0.0019131,0.0048527,2.6079,1.5675,3.9402
validation,MIX-blend,tau_30-60m,0.2-0.5%,58868,273,0.00349,0.0046375,0.0034519,0.0059856,1.3288,0.98821,1.714
validation,MIX-blend,tau_30-60m,0.5-1%,79520,547,0.007337,0.0068788,0.0057193,0.0080899,0.93754,0.7791,1.103
validation,MIX-blend,tau_30-60m,1-2%,97464,1215,0.014517,0.012466,0.011048,0.01393,0.85874,0.76155,0.95952
validation,MIX-blend,tau_30-60m,2-5%,126776,3590,0.032278,0.028318,0.026167,0.030483,0.87731,0.81052,0.94468
validation,MIX-blend,tau_30-60m,5-10%,55278,3420,0.06758,0.061869,0.057813,0.065892,0.9155,0.85502,0.97499
validation,MIX-blend,tau_30-60m,10-20%,8424,1204,0.12033,0.14292,0.12954,0.15417,1.1878,1.0767,1.279
validation,EMP-blend,all,<0.2%,122707,150,0.0012202,0.0012224,0.00083943,0.001675,1.0019,0.68792,1.3799
validation,EMP-blend,all,0.2-0.5%,261422,979,0.0034722,0.0037449,0.0031091,0.0044421,1.0785,0.8953,1.2789
validation,EMP-blend,all,0.5-1%,286093,1966,0.0072601,0.0068719,0.0060972,0.0077692,0.94653,0.84001,1.07
validation,EMP-blend,all,1-2%,286877,3930,0.014334,0.013699,0.012691,0.014865,0.95571,0.88512,1.0369
validation,EMP-blend,all,2-5%,293313,9161,0.031411,0.031233,0.029373,0.033076,0.99432,0.93544,1.0528
validation,EMP-blend,all,5-10%,92946,6365,0.066854,0.068481,0.06482,0.071932,1.0243,0.96991,1.0753
validation,EMP-blend,all,10-20%,14316,1999,0.12123,0.13963,0.1295,0.14937,1.1518,1.069,1.2286
validation,EMP-blend,up,<0.2%,61967,70,0.0011715,0.0011296,0.00063862,0.0016333,0.96428,0.54607,1.3891
validation,EMP-blend,up,0.2-0.5%,123401,414,0.0035014,0.0033549,0.0025977,0.0041866,0.95817,0.74228,1.1969
validation,EMP-blend,up,0.5-1%,133780,825,0.0072936,0.0061668,0.0051849,0.0071544,0.84551,0.71147,0.98086
validation,EMP-blend,up,1-2%,150441,1920,0.014375,0.012762,0.011249,0.014453,0.88782,0.78232,1.0056
validation,EMP-blend,up,2-5%,153352,4546,0.031406,0.029644,0.02698,0.032377,0.94389,0.8595,1.0312
validation,EMP-blend,up,5-10%,48168,3154,0.066837,0.065479,0.059612,0.071198,0.97968,0.89266,1.065
validation,EMP-blend,up,10-20%,7646,1073,0.12153,0.14033,0.12253,0.15887,1.1547,1.0046,1.3052
validation,EMP-blend,down,<0.2%,60740,80,0.0012698,0.0013171,0.00079037,0.0020182,1.0372,0.62119,1.5876
validation,EMP-blend,down,0.2-0.5%,138021,565,0.0034461,0.0040936,0.003152,0.005141,1.1879,0.91613,1.4928
validation,EMP-blend,down,0.5-1%,152313,1141,0.0072306,0.0074912,0.0063748,0.0087761,1.036,0.88123,1.2143
validation,EMP-blend,down,1-2%,136436,2010,0.014289,0.014732,0.013235,0.016498,1.031,0.92623,1.1545
validation,EMP-blend,down,2-5%,139961,4615,0.031417,0.032973,0.03048,0.035828,1.0495,0.97025,1.1416
validation,EMP-blend,down,5-10%,44778,3211,0.066872,0.071709,0.066519,0.077337,1.0723,0.99501,1.1559
validation,EMP-blend,down,10-20%,6670,926,0.12089,0.13883,0.12273,0.15604,1.1484,1.0174,1.2881
validation,EMP-blend,tau_2-5m,<0.2%,82218,74,0.0011263,0.00090005,0.00055301,0.0012763,0.79914,0.48902,1.1323
validation,EMP-blend,tau_2-5m,0.2-0.5%,106625,344,0.0033286,0.0032263,0.0024916,0.0039739,0.96926,0.74933,1.1942
validation,EMP-blend,tau_2-5m,0.5-1%,86308,606,0.0072392,0.0070214,0.0060822,0.008055,0.96991,0.83998,1.1129
validation,EMP-blend,tau_2-5m,1-2%,76822,1066,0.014298,0.013876,0.012524,0.015243,0.97052,0.87531,1.0663
validation,EMP-blend,tau_2-5m,2-5%,74827,2164,0.031148,0.02892,0.026585,0.031332,0.92848,0.85298,1.0063
validation,EMP-blend,tau_2-5m,5-10%,22182,1469,0.06696,0.066225,0.060724,0.072129,0.98903,0.905,1.0761
validation,EMP-blend,tau_2-5m,10-20%,3470,431,0.12082,0.12421,0.10831,0.14065,1.0281,0.89506,1.1621
validation,EMP-blend,tau_10-20m,<0.2%,27869,47,0.0014108,0.0016865,0.00078143,0.0029101,1.1954,0.55311,2.0567
validation,EMP-blend,tau_10-20m,0.2-0.5%,93304,370,0.00355,0.0039655,0.0030401,0.0050535,1.1171,0.85681,1.4201
validation,EMP-blend,tau_10-20m,0.5-1%,106709,730,0.0071945,0.006841,0.0058139,0.0080993,0.95087,0.80767,1.1254
validation,EMP-blend,tau_10-20m,1-2%,94387,1288,0.014355,0.013646,0.012281,0.015182,0.9506,0.85528,1.0573
validation,EMP-blend,tau_10-20m,2-5%,96591,3040,0.03127,0.031473,0.029179,0.033925,1.0065,0.93359,1.0846
validation,EMP-blend,tau_10-20m,5-10%,28975,1969,0.066808,0.067955,0.063036,0.072771,1.0172,0.94443,1.0902
validation,EMP-blend,tau_10-20m,10-20%,4783,620,0.1215,0.12963,0.11629,0.14393,1.0669,0.95811,1.1866
validation,EMP-blend,tau_30-60m,<0.2%,12620,29,0.0014108,0.0022979,0.00090743,0.0042832,1.6288,0.64182,3.0162
validation,EMP-blend,tau_30-60m,0.2-0.5%,61493,265,0.0036032,0.0043094,0.0030372,0.0057356,1.196,0.8424,1.5948
validation,EMP-blend,tau_30-60m,0.5-1%,93076,630,0.0073546,0.0067687,0.0056724,0.0079801,0.92034,0.77102,1.085
validation,EMP-blend,tau_30-60m,1-2%,115668,1576,0.014341,0.013625,0.012244,0.015136,0.95009,0.85342,1.0554
validation,EMP-blend,tau_30-60m,2-5%,121895,3957,0.031686,0.032462,0.030083,0.034773,1.0245,0.94961,1.0979
validation,EMP-blend,tau_30-60m,5-10%,41789,2927,0.06683,0.070042,0.065314,0.074707,1.0481,0.97753,1.1172
validation,EMP-blend,tau_30-60m,10-20%,6063,948,0.12126,0.15636,0.14217,0.16906,1.2895,1.1727,1.3927
validation,G-seas-2h,all,<0.2%,474314,2365,0.00057385,0.0049861,0.0042462,0.0058797,8.689,7.4358,10.206
validation,G-seas-2h,all,0.2-0.5%,167422,1531,0.0033147,0.0091446,0.0082232,0.010116,2.7588,2.4793,3.0556
validation,G-seas-2h,all,0.5-1%,145576,1819,0.0072698,0.012495,0.011409,0.01366,1.7188,1.5702,1.8812
validation,G-seas-2h,all,1-2%,163228,2846,0.014522,0.017436,0.016132,0.018744,1.2006,1.1105,1.2908
validation,G-seas-2h,all,2-5%,236784,6580,0.03281,0.027789,0.026342,0.029244,0.84696,0.80344,0.89152
validation,G-seas-2h,all,5-10%,141764,6720,0.068936,0.047403,0.045023,0.049669,0.68763,0.65278,0.72053
validation,G-seas-2h,all,10-20%,28762,2690,0.12459,0.093526,0.085797,0.10147,0.75067,0.68828,0.81425
validation,G-seas-2h,up,<0.2%,237157,1215,0.00057385,0.0051232,0.0040336,0.006338,8.9278,7.0345,10.979
validation,G-seas-2h,up,0.2-0.5%,83711,765,0.0033147,0.0091386,0.0077209,0.010676,2.757,2.3305,3.2215
validation,G-seas-2h,up,0.5-1%,72788,896,0.0072698,0.01231,0.010721,0.013981,1.6933,1.4764,1.9245
validation,G-seas-2h,up,1-2%,81614,1385,0.014522,0.01697,0.014968,0.01894,1.1686,1.0302,1.3026
validation,G-seas-2h,up,2-5%,118392,3156,0.03281,0.026657,0.024496,0.02902,0.81247,0.7463,0.88515
validation,G-seas-2h,up,5-10%,70882,3198,0.068936,0.045117,0.041517,0.048628,0.65448,0.60159,0.70549
validation,G-seas-2h,up,10-20%,14381,1388,0.12459,0.096516,0.083764,0.10978,0.77467,0.67335,0.88169
validation,G-seas-2h,down,<0.2%,237157,1150,0.00057385,0.0048491,0.0038238,0.0060003,8.4502,6.6485,10.499
validation,G-seas-2h,down,0.2-0.5%,83711,766,0.0033147,0.0091505,0.0077704,0.010691,2.7606,2.343,3.2235
