period,model,split,q_bucket,n,n_events,mean_model_p,freq,freq_lo,freq_hi,ratio_freq_to_p,ratio_lo,ratio_hi
test,EMP-blend,all,2-5%,479783,14011,0.031515,0.029203,0.028001,0.030504,0.92664,0.88805,0.96793
test,EMP-blend,all,5-10%,159046,10194,0.067357,0.064095,0.061248,0.066883,0.95157,0.909,0.99271
test,EMP-blend,all,10-20%,37711,5078,0.12978,0.13466,0.12794,0.14231,1.0376,0.98635,1.0948
test,EMP-blend,up,<0.2%,166544,230,0.0011513,0.001381,0.00099619,0.0018573,1.1995,0.86269,1.6108
test,EMP-blend,up,0.2-0.5%,251579,838,0.0034273,0.003331,0.0028297,0.0038962,0.97188,0.82616,1.1359
test,EMP-blend,up,0.5-1%,239468,1599,0.0072121,0.0066773,0.0059471,0.0074514,0.92584,0.82453,1.0331
test,EMP-blend,up,1-2%,230476,3174,0.014384,0.013771,0.012642,0.014969,0.95743,0.87902,1.0411
test,EMP-blend,up,2-5%,234872,7058,0.03137,0.03005,0.028223,0.032144,0.95794,0.89986,1.0249
test,EMP-blend,up,5-10%,74116,4707,0.067345,0.063509,0.059044,0.06818,0.94303,0.87629,1.012
test,EMP-blend,up,10-20%,17717,2282,0.12989,0.1288,0.11634,0.14117,0.99161,0.89611,1.0888
test,EMP-blend,down,<0.2%,179023,218,0.0011346,0.0012177,0.00079317,0.0017261,1.0733,0.69609,1.5235
test,EMP-blend,down,0.2-0.5%,241602,730,0.0033416,0.0030215,0.0025331,0.0035269,0.90422,0.75764,1.0561
test,EMP-blend,down,0.5-1%,221298,1448,0.0072488,0.0065432,0.0057383,0.0073717,0.90266,0.79206,1.0172
test,EMP-blend,down,1-2%,223011,2879,0.014357,0.01291,0.011825,0.013983,0.89919,0.8234,0.9741
test,EMP-blend,down,2-5%,244911,6953,0.031654,0.02839,0.026522,0.030227,0.89688,0.83783,0.95482
test,EMP-blend,down,5-10%,84930,5487,0.067366,0.064606,0.060211,0.06894,0.95903,0.89393,1.0233
test,EMP-blend,down,10-20%,19994,2796,0.12968,0.13984,0.12589,0.15303,1.0783,0.97404,1.1802
test,EMP-blend,tau_2-5m,<0.2%,189388,204,0.0010498,0.0010772,0.00074235,0.0014257,1.0261,0.70715,1.3637
test,EMP-blend,tau_2-5m,0.2-0.5%,181917,523,0.0033262,0.0028749,0.002381,0.0033996,0.86433,0.7163,1.0225
test,EMP-blend,tau_2-5m,0.5-1%,146887,945,0.0071564,0.0064335,0.0057219,0.0071971,0.89899,0.79964,1.0065
test,EMP-blend,tau_2-5m,1-2%,129741,1617,0.014284,0.012463,0.011491,0.013427,0.87252,0.80433,0.94008
test,EMP-blend,tau_2-5m,2-5%,122126,3140,0.030906,0.025711,0.024066,0.027401,0.83192,0.7786,0.88623
test,EMP-blend,tau_2-5m,5-10%,33211,1948,0.067489,0.058655,0.054682,0.062978,0.86911,0.80998,0.93303
test,EMP-blend,tau_2-5m,10-20%,6938,791,0.1234,0.11401,0.10431,0.12475,0.92392,0.84533,1.0108
test,EMP-blend,tau_10-20m,<0.2%,101574,138,0.0011991,0.0013586,0.00089161,0.0019143,1.133,0.74227,1.6064
test,EMP-blend,tau_10-20m,0.2-0.5%,176326,537,0.0033729,0.0030455,0.0025554,0.0035925,0.90293,0.75743,1.0657
test,EMP-blend,tau_10-20m,0.5-1%,154761,1027,0.0072414,0.006636,0.0058803,0.0074515,0.9164,0.81217,1.0283
test,EMP-blend,tau_10-20m,1-2%,153619,2047,0.014363,0.013325,0.012262,0.014471,0.92777,0.85432,1.0079
test,EMP-blend,tau_10-20m,2-5%,160883,4748,0.031579,0.029512,0.027806,0.03136,0.93454,0.8809,0.99272
test,EMP-blend,tau_10-20m,5-10%,50698,3229,0.067023,0.063691,0.059634,0.067618,0.95028,0.8891,1.0091
test,EMP-blend,tau_10-20m,10-20%,12250,1672,0.13192,0.13649,0.12649,0.14738,1.0346,0.9586,1.1178
test,EMP-blend,tau_30-60m,<0.2%,54605,106,0.0013597,0.0019412,0.001283,0.0027061,1.4276,0.94718,1.9874
test,EMP-blend,tau_30-60m,0.2-0.5%,134938,508,0.0034813,0.0037647,0.0031382,0.0044113,1.0814,0.9003,1.2662
test,EMP-blend,tau_30-60m,0.5-1%,159118,1075,0.0072861,0.006756,0.0059957,0.0075073,0.92724,0.82266,1.0301
test,EMP-blend,tau_30-60m,1-2%,170127,2389,0.014444,0.014042,0.013043,0.015076,0.97222,0.90299,1.0436
test,EMP-blend,tau_30-60m,2-5%,196774,6123,0.03184,0.031117,0.029604,0.03277,0.97729,0.92931,1.0295
test,EMP-blend,tau_30-60m,5-10%,75137,5017,0.067523,0.066771,0.063421,0.070114,0.98887,0.93947,1.0391
test,EMP-blend,tau_30-60m,10-20%,18523,2615,0.13076,0.14118,0.13189,0.15096,1.0797,1.01,1.156
test,G-seas-2h,all,<0.2%,946578,3360,0.00051805,0.0035496,0.0031784,0.0039344,6.8519,6.1537,7.6071
test,G-seas-2h,all,0.2-0.5%,285364,2250,0.0033041,0.0078847,0.007272,0.0085538,2.3863,2.2008,2.5887
test,G-seas-2h,all,0.5-1%,245166,2775,0.0072456,0.011319,0.010542,0.012111,1.5622,1.4555,1.6725
test,G-seas-2h,all,1-2%,275388,4476,0.014506,0.016253,0.01545,0.017183,1.1205,1.0651,1.1832
test,G-seas-2h,all,2-5%,405792,11209,0.032843,0.027623,0.026522,0.028816,0.84106,0.80771,0.87633
test,G-seas-2h,all,5-10%,211352,10206,0.068176,0.048289,0.046171,0.050354,0.7083,0.67768,0.73933
test,G-seas-2h,all,10-20%,56422,5576,0.13364,0.098827,0.092576,0.10568,0.73949,0.69331,0.79043
test,G-seas-2h,up,<0.2%,473289,1752,0.00051805,0.0037018,0.0031836,0.0042402,7.1455,6.1446,8.2073
test,G-seas-2h,up,0.2-0.5%,142682,1132,0.0033041,0.0079337,0.0070629,0.0088727,2.4012,2.1374,2.6829
test,G-seas-2h,up,0.5-1%,122583,1327,0.0072456,0.010825,0.0097782,0.011939,1.4941,1.3501,1.6479
test,G-seas-2h,up,1-2%,137694,2189,0.014506,0.015898,0.014646,0.017276,1.0959,1.0096,1.1906
test,G-seas-2h,up,2-5%,202896,5528,0.032843,0.027245,0.025561,0.029134,0.82958,0.77835,0.88651
test,G-seas-2h,up,5-10%,105676,5023,0.068176,0.047532,0.044732,0.050863,0.69719,0.65603,0.74555
test,G-seas-2h,up,10-20%,28211,2648,0.13364,0.093864,0.084476,0.10384,0.70236,0.63217,0.7774
test,G-seas-2h,down,<0.2%,473289,1608,0.00051805,0.0033975,0.0028597,0.0039904,6.5582,5.5123,7.703
test,G-seas-2h,down,0.2-0.5%,142682,1118,0.0033041,0.0078356,0.0069018,0.0088587,2.3715,2.0907,2.6806
test,G-seas-2h,down,0.5-1%,122583,1448,0.0072456,0.011812,0.010648,0.013007,1.6303,1.4693,1.7954
test,G-seas-2h,down,1-2%,137694,2287,0.014506,0.016609,0.015367,0.017891,1.145,1.0595,1.2337
test,G-seas-2h,down,2-5%,202896,5681,0.032843,0.028,0.026215,0.029706,0.85254,0.79835,0.904
test,G-seas-2h,down,5-10%,105676,5183,0.068176,0.049046,0.045585,0.052131,0.7194,0.66928,0.76531
test,G-seas-2h,down,10-20%,28211,2928,0.13364,0.10379,0.093313,0.11477,0.77662,0.6983,0.85994
test,G-seas-2h,tau_2-5m,<0.2%,316712,790,0.00052289,0.0024944,0.0020722,0.0029504,4.7704,3.96,5.6456
test,G-seas-2h,tau_2-5m,0.2-0.5%,96392,535,0.0033001,0.0055503,0.0048552,0.0062277,1.6818,1.4712,1.886
test,G-seas-2h,tau_2-5m,0.5-1%,82368,608,0.007242,0.0073815,0.0065688,0.0081896,1.0193,0.90854,1.1318
test,G-seas-2h,tau_2-5m,1-2%,92326,999,0.014511,0.01082,0.0099102,0.011753,0.74565,0.68339,0.80981
test,G-seas-2h,tau_2-5m,2-5%,136364,2738,0.032847,0.020079,0.018809,0.021308,0.61128,0.57264,0.64811
test,G-seas-2h,tau_2-5m,5-10%,69104,2373,0.067857,0.03434,0.032282,0.036652,0.50606,0.47562,0.54011
test,G-seas-2h,tau_2-5m,10-20%,16214,1042,0.13277,0.064265,0.057443,0.071851,0.48403,0.43287,0.54067
test,G-seas-2h,tau_10-20m,<0.2%,319970,1049,0.00051385,0.0032784,0.0027918,0.0038541,6.3802,5.4367,7.4953
test,G-seas-2h,tau_10-20m,0.2-0.5%,95108,727,0.0033057,0.0076439,0.0067883,0.0085629,2.3123,2.0521,2.5917
test,G-seas-2h,tau_10-20m,0.5-1%,81210,925,0.0072407,0.01139,0.010375,0.012471,1.5731,1.4318,1.7214
test,G-seas-2h,tau_10-20m,1-2%,91320,1505,0.014495,0.016481,0.015331,0.017691,1.137,1.0574,1.221
