period,model,param,tau_min,mean,min,max
validation,MIX-blend,cv,30,0.4693,0.4191,0.537
validation,MIX-blend,cv,45,0.5009,0.4449,0.5828
validation,MIX-blend,cv,60,0.5214,0.4697,0.5959
validation,T-blend,c,2,1.008,1,1.017
validation,T-blend,c,3,1,0.9956,1.003
validation,T-blend,c,5,0.9959,0.9865,1
validation,T-blend,c,10,0.9932,0.9797,1
validation,T-blend,c,15,0.9835,0.9605,1
validation,T-blend,c,20,0.994,0.9771,1
validation,T-blend,c,30,0.9946,0.982,1
validation,T-blend,c,45,0.996,0.9833,1
validation,T-blend,c,60,0.9976,0.9791,1.006
validation,T-blend,nu,2,4.406,3.896,4.701
validation,T-blend,nu,3,4.845,3.915,5.356
validation,T-blend,nu,5,4.799,4.001,5.373
validation,T-blend,nu,10,4.616,4.251,4.993
validation,T-blend,nu,15,4.524,3.83,5.062
validation,T-blend,nu,20,3.957,3.45,4.452
validation,T-blend,nu,30,4.162,3.534,4.772
validation,T-blend,nu,45,3.792,3.246,4.364
validation,T-blend,nu,60,3.55,3.083,4.102
validation,T-raw-2h,c,2,0.8973,0.8817,0.9257
validation,T-raw-2h,c,3,0.9003,0.8826,0.9426
validation,T-raw-2h,c,5,0.9339,0.9151,0.9719
validation,T-raw-2h,c,10,0.979,0.9676,0.9972
validation,T-raw-2h,c,15,0.9902,0.9711,1.022
validation,T-raw-2h,c,20,1.037,1.004,1.104
validation,T-raw-2h,c,30,1.096,1.064,1.176
validation,T-raw-2h,c,45,1.134,1.085,1.216
validation,T-raw-2h,c,60,1.178,1.141,1.268
validation,T-raw-2h,nu,2,3.458,3.155,3.648
validation,T-raw-2h,nu,3,3.733,3.222,4.064
validation,T-raw-2h,nu,5,3.844,3.398,4.101
validation,T-raw-2h,nu,10,3.791,3.491,4.003
validation,T-raw-2h,nu,15,3.829,3.398,4.062
validation,T-raw-2h,nu,20,3.327,2.936,3.592
validation,T-raw-2h,nu,30,3.36,2.925,3.653
validation,T-raw-2h,nu,45,3.211,2.849,3.538
validation,T-raw-2h,nu,60,2.991,2.693,3.247
validation,blend,w_10m,2,0.5892,0.5373,0.6596
validation,blend,w_10m,3,0.5908,0.5536,0.6303
validation,blend,w_10m,5,0.6122,0.5526,0.694
validation,blend,w_10m,10,0.6211,0.5133,0.6926
validation,blend,w_10m,15,0.4966,0.3634,0.6231
validation,blend,w_10m,20,0.4609,0.2807,0.5731
validation,blend,w_10m,30,0.5082,0.4127,0.5949
validation,blend,w_10m,45,0.5498,0.3993,0.6416
validation,blend,w_10m,60,0.3199,0.2127,0.3969
validation,blend,w_1d,2,0.0567,0.03481,0.07866
validation,blend,w_1d,3,0.08183,0.06415,0.1216
validation,blend,w_1d,5,0.1155,0.08808,0.1726
validation,blend,w_1d,10,0.1421,0.1047,0.1899
validation,blend,w_1d,15,0.2061,0.1732,0.2485
validation,blend,w_1d,20,0.2118,0.07078,0.3018
validation,blend,w_1d,30,0.2532,0.1165,0.3317
validation,blend,w_1d,45,0.2514,0.0898,0.4745
validation,blend,w_1d,60,0.3999,0.2918,0.5692
validation,blend,w_2h,2,0.1121,0,0.1614
validation,blend,w_2h,3,0.1022,0,0.1647
validation,blend,w_2h,5,0.09914,0.03564,0.1458
validation,blend,w_2h,10,0.148,0,0.2643
validation,blend,w_2h,15,0.1487,0.04716,0.2926
validation,blend,w_2h,20,0.1847,0.1143,0.3766
validation,blend,w_2h,30,0.07132,0,0.2523
validation,blend,w_2h,45,0.1268,0,0.273
validation,blend,w_2h,60,0.1514,0.03078,0.3981
validation,blend,w_30m,2,0,0,0
validation,blend,w_30m,3,0.0106,0,0.06618
validation,blend,w_30m,5,0.03519,0,0.1588
validation,blend,w_30m,10,0.05187,0,0.2564
validation,blend,w_30m,15,0.1351,0,0.3472
validation,blend,w_30m,20,0.1024,0,0.306
validation,blend,w_30m,30,0.1141,0,0.2437
validation,blend,w_30m,45,0,0,0
validation,blend,w_30m,60,0.02108,0,0.1636
validation,blend,w_6h,2,0.02509,0,0.1013
validation,blend,w_6h,3,0.01628,0,0.07965
validation,blend,w_6h,5,0.01647,0,0.06163
validation,blend,w_6h,10,0,0,0
